Position MGI Austria West (EPSG 31254)	71748 RW; 237062 HW
Position WGS 84 (EPSG 4326)           	11°16'52" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
321.00	52.94	44.48	52.94
322.00	53.29	44.87	53.29
323.00	53.67	44.40	53.67
324.00	54.02	44.77	54.02
325.00	54.37	44.44	54.37
326.00	54.68	43.97	54.68
327.00	54.99	44.31	54.99
328.00	49.48	43.80	49.48
329.00	49.77	43.59	49.77
330.00	50.07	43.32	50.07
331.00	50.34	43.44	50.34
332.00	50.62	43.55	50.62
333.00	50.88	43.05	50.88
334.00	46.77	42.81	46.77
335.00	46.98	42.39	46.98
336.00	47.21	42.62	47.21
337.00	47.43	42.83	47.43
338.00	47.65	43.04	47.65
339.00	47.85	43.24	47.85
340.00	48.01	43.42	48.01
341.00	48.18	43.60	48.18
342.00	48.36	43.76	48.36
343.00	48.51	43.92	48.51
344.00	43.95	44.94	44.94
345.00	44.32	45.08	45.08
346.00	44.56	45.30	45.30
347.00	45.10	45.56	45.56
348.00	45.87	47.81	47.81
349.00	45.82	47.91	47.91
350.00	46.11	48.01	48.01
351.00	46.40	48.15	48.15
352.00	46.71	48.22	48.22
353.00	48.55	48.29	48.55
354.00	48.23	48.34	48.34
355.00	47.80	47.81	47.81
356.00	48.05	49.22	49.22
357.00	48.27	49.25	49.25
358.00	48.33	50.34	50.34
359.00	48.78	50.35	50.35
