Position MGI Austria West (EPSG 31254)	44223 RW; 225490 HW
Position WGS 84 (EPSG 4326)           	10°54'58" Ost; 47°10'0" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
287.00	0.00	22.89	22.89
288.00	0.00	23.09	23.09
289.00	0.00	23.16	23.16
290.00	0.00	23.63	23.63
291.00	0.00	23.49	23.49
292.00	0.00	23.25	23.25
293.00	0.00	22.68	22.68
294.00	0.00	22.29	22.29
295.00	0.00	22.55	22.55
296.00	0.00	22.85	22.85
297.00	0.00	23.11	23.11
298.00	0.00	22.94	22.94
299.00	0.00	22.80	22.80
300.00	0.00	22.82	22.82
301.00	0.00	22.52	22.52
302.00	0.00	21.79	21.79
303.00	0.00	21.59	21.59
304.00	0.32	21.38	21.38
305.00	0.31	21.23	21.23
306.00	0.18	20.77	20.77
307.00	0.00	20.61	20.61
308.00	0.00	20.40	20.40
309.00	0.00	20.11	20.11
310.00	0.00	19.90	19.90
311.00	0.00	19.41	19.41
312.00	0.00	18.92	18.92
313.00	0.00	18.28	18.28
314.00	0.00	17.48	17.48
315.00	0.00	16.46	16.46
316.00	0.72	15.52	15.52
317.00	0.92	14.77	14.77
318.00	1.08	13.55	13.55
319.00	1.15	13.04	13.04
320.00	1.17	12.34	12.34
321.00	1.16	9.88	9.88
322.00	1.19	8.97	8.97
323.00	1.21	8.29	8.29
324.00	0.98	7.84	7.84
325.00	0.81	7.22	7.22
326.00	0.82	6.57	6.57
327.00	0.00	6.19	6.19
328.00	0.00	5.44	5.44
329.00	0.00	4.81	4.81
330.00	0.00	4.60	4.60
331.00	0.00	4.43	4.43
332.00	0.00	4.25	4.25
333.00	0.00	4.18	4.18
334.00	0.00	4.51	4.51
335.00	0.27	4.84	4.84
336.00	0.12	5.06	5.06
337.00	0.24	5.22	5.22
338.00	0.40	5.30	5.30
339.00	0.49	5.34	5.34
340.00	3.16	5.52	5.52
341.00	4.78	5.27	5.27
342.00	7.49	5.23	7.49
343.00	12.44	5.26	12.44
344.00	12.74	5.42	12.74
345.00	17.60	5.62	17.60
346.00	24.51	5.79	24.51
347.00	25.70	6.00	25.70
348.00	26.64	6.36	26.64
349.00	26.71	6.63	26.71
350.00	32.47	6.64	32.47
351.00	34.81	20.11	34.81
352.00	34.88	20.15	34.88
353.00	35.71	20.20	35.71
354.00	36.61	20.23	36.61
355.00	37.26	20.27	37.26
356.00	42.06	20.29	42.06
357.00	44.83	20.31	44.83
358.00	55.83	20.32	55.83
359.00	55.84	20.33	55.84
