Position MGI Austria West (EPSG 31254)	38661 RW; 242253 HW
Position WGS 84 (EPSG 4326)           	10°50'39" Ost; 47°19'4" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
270.00	0.00	11.97	11.97
271.00	0.00	11.59	11.59
272.00	0.00	11.39	11.39
273.00	0.00	11.17	11.17
274.00	0.00	10.86	10.86
275.00	0.00	10.61	10.61
276.00	0.00	10.25	10.25
277.00	0.00	9.76	9.76
278.00	0.00	9.17	9.17
279.00	0.00	9.44	9.44
280.00	0.00	9.76	9.76
281.00	0.00	9.72	9.72
282.00	0.00	8.86	8.86
283.00	0.00	8.49	8.49
284.00	0.00	7.65	7.65
285.00	0.00	7.52	7.52
286.00	0.00	8.15	8.15
287.00	0.00	9.01	9.01
288.00	0.00	9.68	9.68
289.00	0.00	9.96	9.96
290.00	0.00	10.42	10.42
291.00	0.00	10.43	10.43
292.00	0.00	10.23	10.23
293.00	2.58	9.94	9.94
294.00	4.04	10.64	10.64
295.00	5.56	10.28	10.28
296.00	4.88	9.98	9.98
297.00	6.18	9.90	9.90
298.00	7.64	10.39	10.39
299.00	8.84	11.31	11.31
300.00	9.31	11.70	11.70
301.00	10.75	11.80	11.80
302.00	12.36	13.23	13.23
303.00	14.26	13.09	14.26
304.00	16.16	15.54	16.16
305.00	17.38	15.80	17.38
306.00	18.84	19.38	19.38
307.00	19.74	20.04	20.04
308.00	20.96	19.80	20.96
309.00	21.39	19.55	21.39
310.00	22.58	23.73	23.73
311.00	23.59	23.42	23.59
312.00	23.79	23.10	23.79
313.00	24.85	22.78	24.85
314.00	24.96	25.07	25.07
315.00	25.48	24.70	25.48
316.00	26.24	25.07	26.24
317.00	26.74	25.81	26.74
318.00	26.92	26.17	26.92
319.00	27.07	26.52	27.07
320.00	27.87	26.86	27.87
321.00	29.83	27.76	29.83
322.00	29.10	28.08	29.10
323.00	30.00	28.40	30.00
324.00	31.14	29.43	31.14
325.00	31.89	29.77	31.89
326.00	32.82	30.11	32.82
327.00	32.69	30.40	32.69
328.00	34.55	33.12	34.55
329.00	34.75	33.40	34.75
330.00	35.85	34.50	35.85
331.00	36.35	34.76	36.35
332.00	36.56	35.02	36.56
333.00	37.54	35.26	37.54
334.00	38.33	36.76	38.33
335.00	38.72	36.98	38.72
336.00	40.52	37.20	40.52
337.00	40.74	37.93	40.74
338.00	42.13	39.46	42.13
339.00	44.03	39.65	44.03
340.00	44.19	39.83	44.19
341.00	44.89	40.40	44.89
342.00	45.87	40.56	45.87
343.00	46.02	40.72	46.02
344.00	45.15	43.51	45.15
345.00	48.27	43.65	48.27
346.00	48.40	46.72	48.40
347.00	46.93	46.84	46.93
348.00	47.04	46.95	47.04
349.00	47.79	47.05	47.79
350.00	47.86	47.14	47.86
351.00	48.14	47.23	48.14
352.00	49.94	47.30	49.94
353.00	50.00	49.97	50.00
354.00	52.34	50.02	52.34
355.00	51.42	50.07	51.42
356.00	61.87	50.11	61.87
357.00	61.89	50.14	61.89
358.00	61.91	50.16	61.91
359.00	61.92	50.17	61.92
