Position MGI Austria West (EPSG 31254)	71911 RW; 237063 HW
Position WGS 84 (EPSG 4326)           	11°16'59" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
286.00	1.37	26.33	26.33
287.00	0.10	26.73	26.73
288.00	0.19	26.99	26.99
289.00	0.80	27.35	27.35
290.00	1.10	27.43	27.43
291.00	1.19	27.72	27.72
292.00	7.25	27.97	27.97
293.00	8.34	28.35	28.35
294.00	9.07	28.72	28.72
295.00	22.83	29.16	29.16
296.00	22.67	29.49	29.49
297.00	26.82	69.75	69.75
298.00	37.92	69.59	69.59
299.00	48.81	69.40	69.40
300.00	60.36	69.22	69.22
301.00	62.89	69.02	69.02
302.00	64.06	68.82	68.82
303.00	65.14	68.60	68.60
304.00	66.42	68.38	68.38
305.00	66.99	68.14	68.14
306.00	67.67	67.89	67.89
307.00	69.14	67.63	69.14
308.00	69.78	67.36	69.78
309.00	70.44	67.08	70.44
310.00	70.17	66.78	70.17
311.00	71.29	66.47	71.29
312.00	71.04	66.14	71.04
313.00	70.75	65.80	70.75
314.00	72.25	65.45	72.25
315.00	71.96	65.08	71.96
316.00	72.25	65.45	72.25
317.00	73.25	65.80	73.25
318.00	73.50	66.14	73.50
319.00	73.81	66.47	73.81
320.00	75.67	66.78	75.67
321.00	75.99	67.08	75.99
322.00	76.17	67.36	76.17
323.00	76.58	67.63	76.58
324.00	76.74	67.89	76.74
325.00	76.91	68.14	76.91
326.00	77.36	68.38	77.36
327.00	77.50	68.60	77.50
328.00	79.09	68.82	79.09
329.00	79.20	69.02	79.20
330.00	79.31	69.22	79.31
331.00	79.41	69.40	79.41
332.00	79.51	69.59	79.51
333.00	79.61	69.75	79.61
334.00	79.94	73.59	79.94
335.00	80.02	73.72	80.02
336.00	80.09	73.84	80.09
337.00	80.17	73.96	80.17
338.00	80.24	74.07	80.24
339.00	80.31	74.17	80.31
340.00	80.36	74.27	80.36
341.00	80.23	74.36	80.23
342.00	80.29	74.45	80.29
343.00	80.55	74.53	80.55
344.00	80.61	74.60	80.61
345.00	80.65	74.67	80.65
346.00	80.69	74.74	80.69
347.00	80.73	74.80	80.73
348.00	80.76	74.86	80.76
349.00	80.80	74.91	80.80
350.00	81.01	74.96	81.01
351.00	81.83	75.00	81.83
352.00	81.85	75.04	81.85
353.00	81.87	75.07	81.87
354.00	81.88	75.10	81.88
355.00	81.89	75.12	81.89
356.00	82.03	75.14	82.03
357.00	82.65	75.16	82.65
358.00	82.65	75.17	82.65
359.00	82.66	75.17	82.66
