Position MGI Austria West (EPSG 31254)	80296 RW; 238681 HW
Position WGS 84 (EPSG 4326)           	11°23'39" Ost; 47°16'55" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
255.00	17.69	12.45	17.69
256.00	17.97	12.50	17.97
257.00	17.75	12.55	17.75
258.00	20.30	12.60	20.30
259.00	20.37	12.64	20.37
260.00	21.69	13.46	21.69
261.00	21.75	13.49	21.75
262.00	16.71	13.53	16.71
263.00	15.73	13.56	15.73
264.00	15.85	13.58	15.85
265.00	17.03	13.61	17.03
266.00	21.72	15.38	21.72
267.00	21.74	15.39	21.74
268.00	23.44	15.40	23.44
269.00	23.45	15.41	23.45
270.00	19.05	15.41	19.05
271.00	20.11	15.41	20.11
272.00	20.75	15.40	20.75
273.00	21.38	15.39	21.38
274.00	21.70	15.38	21.70
275.00	22.28	17.22	22.28
276.00	22.63	17.19	22.63
277.00	23.46	17.16	23.46
278.00	23.44	17.12	23.44
279.00	24.19	17.08	24.19
280.00	23.74	17.03	23.74
281.00	24.30	16.98	24.30
282.00	25.01	16.92	25.01
283.00	25.67	17.37	25.67
284.00	25.48	17.30	25.48
285.00	25.44	19.55	25.44
286.00	23.95	19.46	23.95
287.00	24.66	21.94	24.66
288.00	25.25	21.83	25.25
289.00	27.56	21.72	27.56
290.00	27.45	21.60	27.45
291.00	26.41	23.94	26.41
292.00	28.39	23.80	28.39
293.00	28.38	23.64	28.38
294.00	29.09	23.48	29.09
295.00	29.07	23.32	29.07
296.00	29.21	23.15	29.21
297.00	28.75	22.96	28.75
298.00	28.31	22.78	28.31
299.00	28.22	22.58	28.22
300.00	26.58	22.39	26.58
301.00	24.84	22.18	24.84
302.00	26.21	21.97	26.21
303.00	26.76	25.52	26.76
304.00	26.51	25.26	26.51
305.00	27.85	25.00	27.85
306.00	27.16	24.73	27.16
307.00	31.54	24.44	31.54
308.00	32.10	24.16	32.10
309.00	31.92	23.87	31.92
310.00	31.39	29.08	31.39
311.00	32.56	28.72	32.56
312.00	33.05	28.34	33.05
313.00	33.44	27.97	33.44
314.00	34.07	27.57	34.07
315.00	35.98	27.18	35.98
316.00	36.25	27.57	36.25
317.00	36.59	27.97	36.59
318.00	37.70	28.34	37.70
319.00	38.20	28.72	38.20
320.00	38.82	29.08	38.82
321.00	39.08	28.53	39.08
322.00	38.76	28.86	38.76
323.00	38.26	29.18	38.26
324.00	38.05	29.50	38.05
325.00	39.18	29.80	39.18
326.00	39.52	30.10	39.52
327.00	39.12	30.39	39.12
328.00	39.72	30.67	39.72
329.00	40.10	30.94	40.10
330.00	42.22	31.20	42.22
331.00	42.99	31.45	42.99
332.00	44.01	31.70	44.01
333.00	43.75	31.93	43.75
334.00	43.34	31.42	43.34
335.00	43.45	31.62	43.45
336.00	44.44	31.83	44.44
337.00	43.57	32.02	43.57
338.00	72.84	32.21	72.84
339.00	72.95	32.39	72.95
340.00	73.04	32.55	73.04
341.00	73.13	32.72	73.13
342.00	73.23	32.87	73.23
343.00	75.93	33.01	75.93
344.00	80.94	33.15	80.94
345.00	80.98	33.27	80.98
346.00	81.02	40.52	81.02
347.00	81.06	40.64	81.06
348.00	81.09	40.75	81.09
349.00	81.12	40.85	81.12
350.00	81.15	40.94	81.15
351.00	81.17	41.03	81.17
352.00	81.20	41.10	81.20
353.00	81.22	41.17	81.22
354.00	81.23	41.22	81.23
355.00	81.28	41.27	81.28
356.00	81.30	41.31	81.30
357.00	81.31	41.34	81.31
358.00	81.31	41.36	81.31
359.00	81.32	41.37	81.32
